trade_date,maturity,strike,option_type,market_price,underlying,r,q,order_book_id,volume,days_to_expiry,S0,api_iv,log_moneyness
2025-04-03,0.9616438356164384,3500.0,put,121.5,3861.5034,0.02,0.0,IO2603P3500,37.0,351,3861.5034,,
2025-04-03,0.9616438356164384,3600.0,call,375.8,3861.5034,0.02,0.0,IO2603C3600,1.0,351,3861.5034,,
2025-04-03,0.9616438356164384,3600.0,put,154.1,3861.5034,0.02,0.0,IO2603P3600,6.0,351,3861.5034,,
2025-04-03,0.9616438356164384,3700.0,call,306.2,3861.5034,0.02,0.0,IO2603C3700,1.0,351,3861.5034,,
2025-04-03,0.9616438356164384,3700.0,put,197.5,3861.5034,0.02,0.0,IO2603P3700,9.0,351,3861.5034,,
2025-04-03,0.9616438356164384,3800.0,call,271.1,3861.5034,0.02,0.0,IO2603C3800,0.0,351,3861.5034,,
2025-04-03,0.9616438356164384,3800.0,put,243.3,3861.5034,0.02,0.0,IO2603P3800,20.0,351,3861.5034,,
2025-04-03,0.9616438356164384,3900.0,call,220.6,3861.5034,0.02,0.0,IO2603C3900,19.0,351,3861.5034,,
2025-04-03,0.9616438356164384,3900.0,put,297.1,3861.5034,0.02,0.0,IO2603P3900,7.0,351,3861.5034,,
2025-04-03,0.9616438356164384,4000.0,call,182.39999999999998,3861.5034,0.02,0.0,IO2603C4000,37.0,351,3861.5034,,
2025-04-03,0.9616438356164384,4000.0,put,349.6,3861.5034,0.02,0.0,IO2603P4000,1.0,351,3861.5034,,
2025-04-03,0.9616438356164384,4100.0,call,153.9,3861.5034,0.02,0.0,IO2603C4100,31.0,351,3861.5034,,
2025-04-03,0.9616438356164384,4100.0,put,418.2,3861.5034,0.02,0.0,IO2603P4100,2.0,351,3861.5034,,
2025-04-03,0.9616438356164384,4200.0,call,131.1,3861.5034,0.02,0.0,IO2603C4200,28.0,351,3861.5034,,
2025-04-03,0.9616438356164384,4200.0,put,476.3,3861.5034,0.02,0.0,IO2603P4200,0.0,351,3861.5034,,
2025-04-03,0.9616438356164384,4300.0,call,114.9,3861.5034,0.02,0.0,IO2603C4300,19.0,351,3861.5034,,
2025-04-03,0.9616438356164384,4300.0,put,619.5,3861.5034,0.02,0.0,IO2603P4300,0.0,351,3861.5034,,
2025-04-03,0.9616438356164384,4400.0,call,98.69999999999999,3861.5034,0.02,0.0,IO2603C4400,150.0,351,3861.5034,,
2025-04-03,0.9616438356164384,4400.0,put,667.9000000000001,3861.5034,0.02,0.0,IO2603P4400,12.0,351,3861.5034,,
2025-04-07,0.9506849315068493,3400.0,call,358.0,3589.4406,0.02,0.0,IO2603C3400,74.0,347,3589.4406,,
2025-04-07,0.9506849315068493,3400.0,put,219.9,3589.4406,0.02,0.0,IO2603P3400,127.0,347,3589.4406,,
2025-04-07,0.9506849315068493,3500.0,call,342.7,3589.4406,0.02,0.0,IO2603C3500,45.0,347,3589.4406,,
2025-04-07,0.9506849315068493,3500.0,put,260.7,3589.4406,0.02,0.0,IO2603P3500,131.0,347,3589.4406,,
2025-04-07,0.9506849315068493,3600.0,call,246.2,3589.4406,0.02,0.0,IO2603C3600,160.0,347,3589.4406,,
2025-04-07,0.9506849315068493,3600.0,put,340.1,3589.4406,0.02,0.0,IO2603P3600,173.0,347,3589.4406,,
2025-04-07,0.9506849315068493,3700.0,call,225.4,3589.4406,0.02,0.0,IO2603C3700,253.0,347,3589.4406,,
2025-04-07,0.9506849315068493,3700.0,put,352.9,3589.4406,0.02,0.0,IO2603P3700,192.0,347,3589.4406,,
2025-04-07,0.9506849315068493,3800.0,call,196.6,3589.4406,0.02,0.0,IO2603C3800,223.0,347,3589.4406,,
2025-04-07,0.9506849315068493,3800.0,put,469.1,3589.4406,0.02,0.0,IO2603P3800,179.0,347,3589.4406,,
2025-04-07,0.9506849315068493,3900.0,call,168.7,3589.4406,0.02,0.0,IO2603C3900,21.0,347,3589.4406,,
2025-04-07,0.9506849315068493,3900.0,put,542.9,3589.4406,0.02,0.0,IO2603P3900,51.0,347,3589.4406,,
2025-04-07,0.9506849315068493,4000.0,call,135.5,3589.4406,0.02,0.0,IO2603C4000,40.0,347,3589.4406,,
2025-04-07,0.9506849315068493,4000.0,put,678.8,3589.4406,0.02,0.0,IO2603P4000,2.0,347,3589.4406,,
2025-04-07,0.9506849315068493,4100.0,call,112.1,3589.4406,0.02,0.0,IO2603C4100,22.0,347,3589.4406,,
2025-04-07,0.9506849315068493,4100.0,put,698.8,3589.4406,0.02,0.0,IO2603P4100,10.0,347,3589.4406,,
2025-04-07,0.9506849315068493,4200.0,call,108.0,3589.4406,0.02,0.0,IO2603C4200,39.0,347,3589.4406,,
2025-04-07,0.9506849315068493,4200.0,put,804.4,3589.4406,0.02,0.0,IO2603P4200,11.0,347,3589.4406,,
2025-04-07,0.9506849315068493,4300.0,call,95.4,3589.4406,0.02,0.0,IO2603C4300,79.0,347,3589.4406,,
2025-04-07,0.9506849315068493,4300.0,put,868.3,3589.4406,0.02,0.0,IO2603P4300,11.0,347,3589.4406,,
2025-04-07,0.9506849315068493,4400.0,call,92.1,3589.4406,0.02,0.0,IO2603C4400,335.0,347,3589.4406,,
2025-04-07,0.9506849315068493,4400.0,put,953.6,3589.4406,0.02,0.0,IO2603P4400,10.0,347,3589.4406,,
2025-04-08,0.947945205479452,3200.0,call,495.0,3650.759,0.02,0.0,IO2603C3200,33.0,346,3650.759,,
2025-04-08,0.947945205479452,3200.0,put,192.1,3650.759,0.02,0.0,IO2603P3200,182.0,346,3650.759,,
2025-04-08,0.947945205479452,3300.0,call,412.4,3650.759,0.02,0.0,IO2603C3300,5.0,346,3650.759,,
2025-04-08,0.947945205479452,3300.0,put,204.8,3650.759,0.02,0.0,IO2603P3300,32.0,346,3650.759,,
2025-04-08,0.947945205479452,3400.0,call,357.2,3650.759,0.02,0.0,IO2603C3400,109.0,346,3650.759,,
2025-04-08,0.947945205479452,3400.0,put,263.6,3650.759,0.02,0.0,IO2603P3400,237.0,346,3650.759,,
2025-04-08,0.947945205479452,3500.0,call,307.5,3650.759,0.02,0.0,IO2603C3500,119.0,346,3650.759,,
