date,rv_minute,n_observations,n_returns,annualized_vol
2024-10-16,5.873102698579872e-05,61,60,12.165614986683277
2024-10-17,6.524926321981877e-05,61,60,12.822953767129603
2024-10-18,0.00013979191968371203,61,60,18.769007368610477
2024-10-21,9.430716086623098e-05,61,60,15.416032089448375
2024-10-22,4.461514691887395e-05,61,60,10.603309400161931
2024-10-23,3.4554132379570686e-05,61,60,9.3314743527761
2024-10-24,1.9867424309034663e-05,61,60,7.07572676541197
2024-10-25,3.115435871326072e-05,61,60,8.860529552877583
2024-10-28,2.7438901448042088e-05,61,60,8.315409289329423
2024-10-29,1.594317072076677e-05,61,60,6.338516404990386
2024-10-30,1.688226133649542e-05,61,60,6.52252240839144
2024-10-31,5.499217995473759e-05,61,60,11.772013144995155
2024-11-01,6.716919722667657e-05,61,60,13.01024123570447
2024-11-04,1.8568556877770743e-05,61,60,6.8405236153369335
2024-11-05,8.192998899458293e-05,61,60,14.368840324338947
2024-11-06,5.6390699749013955e-05,61,60,11.920761861874231
2024-11-07,4.8026491242386264e-05,61,60,11.00121620234842
2024-11-08,5.135383183924492e-05,61,60,11.375924412323474
2024-11-11,3.650214510411563e-05,61,60,9.59090223401174
2024-11-12,3.70847168396392e-05,61,60,9.66713434456617
2024-11-13,4.215847148855545e-05,61,60,10.307247360530344
2024-11-14,2.6144539820597933e-05,61,60,8.116910763825533
